nome,preco,oferta,gramagem,categoria,source,date,supermarket,tablode_link,supermarket_latitude,supermarket_longitude,produtos
Shampoos Johnson's,,20% de desconto,400ml,Higiene Infantil,32716ea7c07b111e6400b5d36fe144250fd97d52-0001.jpeg,2024_09_17,Carrefour Hiper Águas Claras,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BAC/152147,-15.832025265181366,-48.03981526477196,
Sabonete Líquido da Cabeça aos Pés,,20% de desconto,,Higiene Infantil,32716ea7c07b111e6400b5d36fe144250fd97d52-0001.jpeg,2024_09_17,Carrefour Hiper Águas Claras,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BAC/152147,-15.832025265181366,-48.03981526477196,
Lenço umedecido Piquitucho,19.9,,4 pacotes,Higiene Infantil,32716ea7c07b111e6400b5d36fe144250fd97d52-0001.jpeg,2024_09_17,Carrefour Hiper Águas Claras,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BAC/152147,-15.832025265181366,-48.03981526477196,
Fralda Piquitucho Mega,21.9,,34 unidades,Fraldas,32716ea7c07b111e6400b5d36fe144250fd97d52-0001.jpeg,2024_09_17,Carrefour Hiper Águas Claras,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BAC/152147,-15.832025265181366,-48.03981526477196,
Fralda Babysec Ultra Mega,53.49,Leve 3 pague 2,,Fraldas,32716ea7c07b111e6400b5d36fe144250fd97d52-0001.jpeg,2024_09_17,Carrefour Hiper Águas Claras,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BAC/152147,-15.832025265181366,-48.03981526477196,
Lava-roupas líquido Omo Roupas finas & delicadas,18.9,,900ml,Limpeza,32716ea7c07b111e6400b5d36fe144250fd97d52-0001.jpeg,2024_09_17,Carrefour Hiper Águas Claras,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BAC/152147,-15.832025265181366,-48.03981526477196,
Fralda Turma da Mônica Baby Giga,99.9,"Leve 3, pague 2",,Fraldas,753d6395f62f81ec7c7826e1ac9a25b13e61d8d0-0002.jpeg,2024_09_17,Carrefour Hiper Águas Claras,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BAC/152147,-15.832025265181366,-48.03981526477196,
Fraldas Babysec Shortinho,,50% de desconto na 2ª unidade,,Fraldas,753d6395f62f81ec7c7826e1ac9a25b13e61d8d0-0002.jpeg,2024_09_17,Carrefour Hiper Águas Claras,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BAC/152147,-15.832025265181366,-48.03981526477196,
Linha de Higiene Infantil Pom Pom,,25% de desconto,,Higiene Infantil,753d6395f62f81ec7c7826e1ac9a25b13e61d8d0-0002.jpeg,2024_09_17,Carrefour Hiper Águas Claras,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BAC/152147,-15.832025265181366,-48.03981526477196,
Lenço Umedecido Pampers Aloe Vera/Splash,39.39,"Leve 4, Pague 3",,Lenços Umedecidos,753d6395f62f81ec7c7826e1ac9a25b13e61d8d0-0002.jpeg,2024_09_17,Carrefour Hiper Águas Claras,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BAC/152147,-15.832025265181366,-48.03981526477196,
