nome,preco,oferta,gramagem,categoria,data_ini,data_fim,source,date,supermarket,tablode_link,supermarket_latitude,supermarket_longitude
Detergente líquido Qualitá,2.29,+20% com o cartão do pão,500 ml,Limpeza,05/09/2024,18/09/2024,https://folhetos.paodeacucar.com/minuto/pubs/sv00050541_pa_semanal_minuto_sp/files/large/,2024_09_21,Pão de açucar,imagens_paodeacucar/4_old.jpg,,
Limpador perfumado Casa & Perfume,8.49,,1 litro,Limpeza,05/09/2024,18/09/2024,https://folhetos.paodeacucar.com/minuto/pubs/sv00050541_pa_semanal_minuto_sp/files/large/,2024_09_21,Pão de açucar,imagens_paodeacucar/4_old.jpg,,
Limpador cremoso Cif,13.99,,450 ml,Limpeza,05/09/2024,18/09/2024,https://folhetos.paodeacucar.com/minuto/pubs/sv00050541_pa_semanal_minuto_sp/files/large/,2024_09_21,Pão de açucar,imagens_paodeacucar/4_old.jpg,,
Detergente em pó Omo,14.59,,800 g,Limpeza,05/09/2024,18/09/2024,https://folhetos.paodeacucar.com/minuto/pubs/sv00050541_pa_semanal_minuto_sp/files/large/,2024_09_21,Pão de açucar,imagens_paodeacucar/4_old.jpg,,
Amaciante de roupas Downy,22.99,,1 litro,Limpeza,05/09/2024,18/09/2024,https://folhetos.paodeacucar.com/minuto/pubs/sv00050541_pa_semanal_minuto_sp/files/large/,2024_09_21,Pão de açucar,imagens_paodeacucar/4_old.jpg,,
Lava-roupas líquido Omo Ultra Power,27.99,,"1,8 litro",Limpeza,05/09/2024,18/09/2024,https://folhetos.paodeacucar.com/minuto/pubs/sv00050541_pa_semanal_minuto_sp/files/large/,2024_09_21,Pão de açucar,imagens_paodeacucar/4_old.jpg,,
Papel higiênico folha dupla Neve Toque da Seda,21.99,,12 rolos de 30 m cada,Higiene,05/09/2024,18/09/2024,https://folhetos.paodeacucar.com/minuto/pubs/sv00050541_pa_semanal_minuto_sp/files/large/,2024_09_21,Pão de açucar,imagens_paodeacucar/4_old.jpg,,
Fralda descartável Pampers Confort Sec,69.99,,"Tamanho G, 38 unidades",Higiene,05/09/2024,18/09/2024,https://folhetos.paodeacucar.com/minuto/pubs/sv00050541_pa_semanal_minuto_sp/files/large/,2024_09_21,Pão de açucar,imagens_paodeacucar/4_old.jpg,,
Toalha umedecida Pampers,15.99,,48 unidades,Higiene,05/09/2024,18/09/2024,https://folhetos.paodeacucar.com/minuto/pubs/sv00050541_pa_semanal_minuto_sp/files/large/,2024_09_21,Pão de açucar,imagens_paodeacucar/4_old.jpg,,
Shampoo Pantene,20.99,,400 ml,Higiene,05/09/2024,18/09/2024,https://folhetos.paodeacucar.com/minuto/pubs/sv00050541_pa_semanal_minuto_sp/files/large/,2024_09_21,Pão de açucar,imagens_paodeacucar/4_old.jpg,,
