nome,preco,oferta,gramagem,categoria,data_ini,data_fim,date_source,supermarket,tablode_source
CAIXA OITAVADA PIZZA FORNO MERCANTIL MOR,31.9,1.0,25 unidades,Embalagens,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp
ARROZ BRANCO TIPO 1 BERNARDO,27.9,1.0,5kg,Alimentos,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp
MISTURA PARA PÃO DE QUEIJO AMAFIL,48.9,1.0,5kg,Alimentos,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp
LEITE CONDENSADO SEMIDESNATADO TRIÂNGULO MINEIRO,4.99,1.0,395g,Laticínios,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp
CREME DE LEITE PIRACANJUBA,3.19,1.0,200g,Laticínios,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp
MANTEIGA COMUM COM SAL SZURA,18.9,1.0,500g,Laticínios,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp
CAFÉ EXTRA FORTE VOVÔ PUREZA,8.99,1.0,250g,Bebidas,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp
LINGUIÇA TIPO CALABRESA DEFUMADA SABOROSA,43.9,1.0,2.5kg,Carnes,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp
BATATA PALITO PRÉ-FRITA CONGELADA OK FOODS,19.9,1.0,1.5kg,Congelados,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp
BEBIDA LÁCTEA FERMENTADA CATURPY,59.9,1.0,1.5kg,Laticínios,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp
MARGARINA VEGETAL CREMOSA COM SAL 60% LIPÍDIOS DELINE,179.0,1.0,15kg,Laticínios,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp
Coxão mole bovino,28.99,32.9,1kg,Carne bovina,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Maminha bovina,31.9,35.5,1kg,Carne bovina,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
