nome,preco,oferta,gramagem,categoria,data_ini,data_fim,date_source,supermarket,tablode_source,marca,produto,data_ini_format,data_fim_format,date_source_format
CAIXA OITAVADA PIZZA FORNO MERCANTIL MOR,31.9,1.0,25 unidades,Embalagens,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,forno mercantil mor,caixa oitavada pizza,2024-09-23 00:00:00,2024-09-25,2024-10-09
ARROZ BRANCO TIPO 1 BERNARDO,27.9,1.0,5kg,Alimentos,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,bernardo,arroz branco tipo 1,2024-09-23 00:00:00,2024-09-25,2024-10-09
MISTURA PARA PÃO DE QUEIJO AMAFIL,48.9,1.0,5kg,Alimentos,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,amafil,mistura para pão de queijo,2024-09-23 00:00:00,2024-09-25,2024-10-09
LEITE CONDENSADO SEMIDESNATADO TRIÂNGULO MINEIRO,4.99,1.0,395g,Laticínios,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,triângulo mineiro,leite condensado semidesnatado,2024-09-23 00:00:00,2024-09-25,2024-10-09
CREME DE LEITE PIRACANJUBA,3.19,1.0,200g,Laticínios,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,piracanjuba,creme de leite,2024-09-23 00:00:00,2024-09-25,2024-10-09
MANTEIGA COMUM COM SAL SZURA,18.9,1.0,500g,Laticínios,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,szura,manteiga comum com sal,2024-09-23 00:00:00,2024-09-25,2024-10-09
CAFÉ EXTRA FORTE VOVÔ PUREZA,8.99,1.0,250g,Bebidas,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,vovô pureza,café extra forte,2024-09-23 00:00:00,2024-09-25,2024-10-09
LINGUIÇA TIPO CALABRESA DEFUMADA SABOROSA,43.9,1.0,2.5kg,Carnes,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,saborosa,linguiça tipo calabresa defumada,2024-09-23 00:00:00,2024-09-25,2024-10-09
BATATA PALITO PRÉ-FRITA CONGELADA OK FOODS,19.9,1.0,1.5kg,Congelados,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,ok foods,batata palito pré-frita congelada,2024-09-23 00:00:00,2024-09-25,2024-10-09
BEBIDA LÁCTEA FERMENTADA CATURPY,59.9,1.0,1.5kg,Laticínios,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,caturpy,bebida láctea fermentada,2024-09-23 00:00:00,2024-09-25,2024-10-09
