nome,preco,oferta,gramagem,categoria,data_ini,data_fim,source,date,supermarket,tablode_link,supermarket_latitude,supermarket_longitude
Feijão Carioca Mestre Cuca,4.99,True,1kg,Grãos,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Achocolatado Toddy,11.99,True,750g,Bebidas,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Leite em Pó Itambé,15.99,True,800g,Laticínios,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Leite Condensado Marajoara,4.49,True,395g,Laticínios,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Azeite Extra Virgem Gallo,39.9,True,500ml,Óleos,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Refrigerante Coca-Cola,7.89,True,2L,Bebidas,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Refrigerante Coca-Cola Lata,2.79,True,310ml,Bebidas,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Suco Alma do Sul,12.99,True,1.35L,Bebidas,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Vinho Esteban Martin,29.99,True,750ml,Bebidas Alcoólicas,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Vinho Portillo,59.99,True,750ml,Bebidas Alcoólicas,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Cerveja Amstel,3.39,True,350ml,Bebidas Alcoólicas,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Energético Red Bull,7.99,True,250ml,Bebidas,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Creme de Leite Piracanjuba,2.79,True,200g,Laticínios,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Molho de Tomate Fugini,1.29,True,300g,Molhos,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Bebida Láctea Hey,3.99,True,250ml,Laticínios,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Iogurte Itambé,2.49,True,170g,Laticínios,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Requeijão Cremoso Itambé,5.49,True,200g,Laticínios,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Queijo Mussarela Avivar,5.99,True,150g,Laticínios,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Lasanha Forno de Minas,8.99,True,600g,Congelados,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Frango a Passarinho Copacol,8.49,True,800g,Carnes,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Filé de Peito Frango Copacol,17.99,True,1kg,Carnes,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
Filé de Tilápia Copacol,37.99,True,800g,Peixes,2024-09-22,2024-09-22,whatsapp,2024_09_21,veneza,imagens_veneza/WhatsApp Image 2024-09-19 at 3.02.36 PM.jpeg,,
