nome,preco,oferta,gramagem,categoria,data_ini,data_fim,source,date,supermarket,tablode_link,supermarket_latitude,supermarket_longitude
CERVEJA ALEMÃ NATURTRÜB PAULANER,18.49,True,500ml,Cerveja,19/09/2024,22/09/2024,https://www.assai.com.br/ofertas/goias/assai-goiania-t9,2024_09_21,Assai,imagens_assai/campanha-24943-cluster-189-pagina-1.jpeg,,
CERVEJA COLORADO TIPOS,9.9,True,600ml,Cerveja,19/09/2024,22/09/2024,https://www.assai.com.br/ofertas/goias/assai-goiania-t9,2024_09_21,Assai,imagens_assai/campanha-24943-cluster-189-pagina-1.jpeg,,
CERVEJA PATAGONIA TIPOS,4.99,True,335ml,Cerveja,19/09/2024,22/09/2024,https://www.assai.com.br/ofertas/goias/assai-goiania-t9,2024_09_21,Assai,imagens_assai/campanha-24943-cluster-189-pagina-1.jpeg,,
CERVEJA BLUE MOON,6.9,True,335ml,Cerveja,19/09/2024,22/09/2024,https://www.assai.com.br/ofertas/goias/assai-goiania-t9,2024_09_21,Assai,imagens_assai/campanha-24943-cluster-189-pagina-1.jpeg,,
CERVEJA BADEN & BADEN TIPOS,3.89,True,350ml,Cerveja,19/09/2024,22/09/2024,https://www.assai.com.br/ofertas/goias/assai-goiania-t9,2024_09_21,Assai,imagens_assai/campanha-24943-cluster-189-pagina-1.jpeg,,
CERVEJA BLUE MOON,5.9,True,350ml,Cerveja,19/09/2024,22/09/2024,https://www.assai.com.br/ofertas/goias/assai-goiania-t9,2024_09_21,Assai,imagens_assai/campanha-24943-cluster-189-pagina-1.jpeg,,
CERVEJA WHITE HOEGAARDEN,4.39,True,330ml,Cerveja,19/09/2024,22/09/2024,https://www.assai.com.br/ofertas/goias/assai-goiania-t9,2024_09_21,Assai,imagens_assai/campanha-24943-cluster-189-pagina-1.jpeg,,
CERVEJA APPIA COLORADO,4.39,True,350ml,Cerveja,19/09/2024,22/09/2024,https://www.assai.com.br/ofertas/goias/assai-goiania-t9,2024_09_21,Assai,imagens_assai/campanha-24943-cluster-189-pagina-1.jpeg,,
KIT VINHO COLHEITA TARDIA AURORA,28.9,True,500ml,Vinho,19/09/2024,22/09/2024,https://www.assai.com.br/ofertas/goias/assai-goiania-t9,2024_09_21,Assai,imagens_assai/campanha-24943-cluster-189-pagina-1.jpeg,,
VINHO PORTUGUÊS TINTO BOM JUIZ,89.9,True,750ml,Vinho,19/09/2024,22/09/2024,https://www.assai.com.br/ofertas/goias/assai-goiania-t9,2024_09_21,Assai,imagens_assai/campanha-24943-cluster-189-pagina-1.jpeg,,
VINHO PORTUGUÊS TINTO RESERVA PORTADA,54.9,True,750ml,Vinho,19/09/2024,22/09/2024,https://www.assai.com.br/ofertas/goias/assai-goiania-t9,2024_09_21,Assai,imagens_assai/campanha-24943-cluster-189-pagina-1.jpeg,,
VINHO FRANCÊS CAVE DE LADAC ROUGE,39.9,True,750ml,Vinho,19/09/2024,22/09/2024,https://www.assai.com.br/ofertas/goias/assai-goiania-t9,2024_09_21,Assai,imagens_assai/campanha-24943-cluster-189-pagina-1.jpeg,,
Açúcar Cristal Imperial,6.89,True,2 kg,Alimentos,16/09,17/09,https://www.assai.com.br/ofertas/goias/assai-goiania-t9,2024_09_21,Assai,imagens_assai/campanha-25482-cluster-17-pagina-1.jpeg,,
Rosquinhas Sabor Coco Belma,3.99,True,600 g,Biscoitos,16/09,17/09,https://www.assai.com.br/ofertas/goias/assai-goiania-t9,2024_09_21,Assai,imagens_assai/campanha-25482-cluster-17-pagina-1.jpeg,,
ARROZ BRANCO TIPO 1 GOL,26.9,True,5kg,Alimentos,16/09/2024,20/09/2024,https://www.assai.com.br/ofertas/goias/assai-goiania-t9,2024_09_21,Assai,imagens_assai/campanha-24991-cluster-15-pagina-1.jpeg,,
LAVA-ROUPAS EM PÓ BRILHANTE FRAGRÂNCIAS,20.97,True,2.4kg,Limpeza,16/09/2024,20/09/2024,https://www.assai.com.br/ofertas/goias/assai-goiania-t9,2024_09_21,Assai,imagens_assai/campanha-24991-cluster-15-pagina-1.jpeg,,
